date,year,month_num,month,quarter,is_festive_season,city,state,program,campaign,donor_type,channel,donation_amount,expense_amount,beneficiaries_reached,volunteer_hours,event_count,new_donors,recurring_donors,social_reach,engagement_rate,cost_per_beneficiary
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,25619,16881,168,54.8,2,4,2,5613,3.68,100.77
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,23096,20149,148,40.4,1,5,3,5112,5.83,136.06
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Community Group,UPI,28267,19099,173,46.5,2,6,2,6824,4.84,110.48
2024-06-01,2024,6,Jun,Q2,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Community Group,Bank Transfer,80153,44516,241,80.2,3,13,5,13919,6.48,184.86
2024-06-01,2024,6,Jun,Q2,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Online Portal,50303,46374,382,118.1,5,10,5,14315,6.31,121.25
2024-06-01,2024,6,Jun,Q2,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,UPI,73516,28838,281,86.9,3,15,6,11499,6.85,102.6
2024-06-01,2024,6,Jun,Q2,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,43670,35697,221,72.4,3,7,3,9994,5.44,161.32
2024-06-01,2024,6,Jun,Q2,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Alumni Network,Bank Transfer,41504,31419,275,68.6,4,9,4,9872,7.2,114.2
2024-06-01,2024,6,Jun,Q2,0,Delhi,Delhi,Education Support,Back to School Drive,Corporate CSR,Fundraising Event,108199,39806,195,75.1,2,21,8,13727,6.43,204.12
2024-06-01,2024,6,Jun,Q2,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,87075,48134,312,117.1,3,15,7,15673,3.38,154.46
2024-06-01,2024,6,Jun,Q2,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,44614,24651,248,73.4,3,8,3,10380,3.41,99.5
2024-06-01,2024,6,Jun,Q2,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Alumni Network,UPI,38278,30592,220,66.1,3,8,3,8373,8.8,138.98
2024-06-01,2024,6,Jun,Q2,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Community Group,Bank Transfer,49056,32687,265,77.3,3,8,3,10594,6.81,123.24
2024-06-01,2024,6,Jun,Q2,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,Fundraising Event,84604,32679,159,60.0,2,14,5,10327,4.57,205.71
2024-06-01,2024,6,Jun,Q2,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,Fundraising Event,67680,42605,277,96.6,3,13,5,14054,5.8,153.6
2024-06-01,2024,6,Jun,Q2,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,33735,23109,193,52.1,2,8,3,6523,6.75,119.73
2024-06-01,2024,6,Jun,Q2,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,Fundraising Event,31854,26678,195,55.1,2,6,3,5936,5.93,136.92
2024-06-01,2024,6,Jun,Q2,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,UPI,59615,27454,199,67.6,3,11,5,9665,7.49,138.01
2024-06-01,2024,6,Jun,Q2,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Community Group,Fundraising Event,52195,33953,165,53.0,2,10,5,9472,9.23,205.37
2024-06-01,2024,6,Jun,Q2,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,41196,38456,219,77.9,3,7,3,7959,3.45,175.3
2024-06-01,2024,6,Jun,Q2,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,36360,20220,180,53.5,2,6,2,7354,5.0,112.56
2024-06-01,2024,6,Jun,Q2,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Community Group,Fundraising Event,33627,22999,172,47.5,2,6,2,7627,4.36,134.01
2024-06-01,2024,6,Jun,Q2,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Community Group,Online Portal,41067,21367,203,63.0,3,10,4,7482,4.92,105.11
2024-06-01,2024,6,Jun,Q2,0,Patna,Bihar,Education Support,Back to School Drive,Individual,Fundraising Event,46714,30660,141,43.7,1,9,3,6408,5.22,218.14
2024-06-01,2024,6,Jun,Q2,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,36281,36558,243,75.3,3,6,2,8673,9.73,150.64
2024-06-01,2024,6,Jun,Q2,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Individual,Online Portal,32590,20209,190,58.6,2,6,3,7347,6.69,106.51
2024-06-01,2024,6,Jun,Q2,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Individual,UPI,24976,22521,164,51.9,2,5,2,5011,4.56,137.29
2024-06-01,2024,6,Jun,Q2,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Corporate CSR,UPI,53835,19815,186,48.0,2,10,4,9469,5.23,106.43
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,42002,27723,147,46.3,2,10,5,8050,3.66,188.61
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Alumni Network,UPI,32474,29177,199,67.4,2,5,2,8714,6.16,146.97
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,Online Portal,29390,18218,171,49.2,2,6,2,6654,6.69,106.57
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Bank Transfer,34667,22781,161,49.1,2,7,3,6052,6.24,141.7
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,29915,18617,186,60.2,2,5,2,5517,4.56,100.04
2024-07-01,2024,7,Jul,Q3,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Individual,UPI,63500,45876,227,77.1,3,13,5,11662,8.32,202.16
2024-07-01,2024,7,Jul,Q3,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,49600,49870,380,126.5,4,9,3,15543,9.71,131.21
2024-07-01,2024,7,Jul,Q3,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Online Portal,75259,30084,226,72.3,2,14,5,11680,9.62,133.1
2024-07-01,2024,7,Jul,Q3,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,Online Portal,49773,32257,225,61.5,3,9,4,10807,5.18,143.33
2024-07-01,2024,7,Jul,Q3,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Online Portal,83182,34302,281,84.0,4,19,6,14327,9.29,122.21
2024-07-01,2024,7,Jul,Q3,0,Delhi,Delhi,Education Support,Back to School Drive,Community Group,UPI,75433,37297,225,79.9,2,19,6,12769,7.08,166.12
2024-07-01,2024,7,Jul,Q3,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Corporate CSR,Bank Transfer,84904,45269,357,133.4,5,14,7,13462,9.8,126.7
2024-07-01,2024,7,Jul,Q3,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,46992,25854,257,66.8,3,10,4,10698,5.24,100.56
2024-07-01,2024,7,Jul,Q3,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,40846,32474,243,81.7,3,9,3,7475,8.9,133.47
2024-07-01,2024,7,Jul,Q3,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Community Group,UPI,48561,30413,293,83.7,4,10,4,12647,6.5,103.73
2024-07-01,2024,7,Jul,Q3,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,Fundraising Event,81757,37465,189,73.5,2,19,9,10355,7.95,197.91
2024-07-01,2024,7,Jul,Q3,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,72556,36313,300,107.4,4,19,6,13863,3.65,121.21
2024-07-01,2024,7,Jul,Q3,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,37852,22773,199,59.6,2,8,3,6357,6.84,114.51
2024-07-01,2024,7,Jul,Q3,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,35133,26339,179,59.0,2,6,2,8425,6.66,147.02
2024-07-01,2024,7,Jul,Q3,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,38713,24822,208,58.5,2,7,4,7303,7.71,119.42
2024-07-01,2024,7,Jul,Q3,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Community Group,UPI,51925,31933,155,49.0,2,12,5,7879,8.38,206.29
2024-07-01,2024,7,Jul,Q3,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,72955,34415,281,103.1,3,14,5,14717,7.72,122.66
2024-07-01,2024,7,Jul,Q3,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,31846,18585,207,53.1,3,6,3,9040,5.18,89.81
2024-07-01,2024,7,Jul,Q3,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,56361,23647,176,58.8,2,10,3,9625,5.48,134.02
2024-07-01,2024,7,Jul,Q3,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,35751,24431,195,65.8,2,6,2,6950,9.75,125.35
2024-07-01,2024,7,Jul,Q3,0,Patna,Bihar,Education Support,Back to School Drive,Corporate CSR,Fundraising Event,75767,27757,144,55.0,2,13,5,9192,3.69,192.32
2024-07-01,2024,7,Jul,Q3,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Individual,Online Portal,38657,35383,244,74.3,3,10,4,8526,4.98,145.14
2024-07-01,2024,7,Jul,Q3,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,31821,19140,179,44.3,2,6,3,7768,8.9,106.81
2024-07-01,2024,7,Jul,Q3,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,28977,24278,145,50.7,1,6,2,5611,4.12,167.79
2024-07-01,2024,7,Jul,Q3,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Individual,Online Portal,27894,20780,173,47.4,2,6,3,7089,6.47,120.09
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,Online Portal,62385,29727,131,46.0,1,11,4,8004,8.58,226.28
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Bank Transfer,39427,32592,225,72.4,3,8,3,9519,7.38,145.13
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,Bank Transfer,30739,18689,154,41.9,1,7,4,5472,8.27,121.21
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,30868,22134,139,47.8,2,5,2,6305,4.12,158.73
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,29664,21250,187,47.1,2,6,2,6973,9.27,113.81
2024-08-01,2024,8,Aug,Q3,1,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,UPI,122109,46171,210,78.8,2,30,14,15743,5.54,219.97
2024-08-01,2024,8,Aug,Q3,1,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,95473,50644,357,133.7,4,17,5,14234,4.67,141.79
2024-08-01,2024,8,Aug,Q3,1,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Bank Transfer,59279,29228,250,73.2,3,13,4,9363,5.95,116.8
2024-08-01,2024,8,Aug,Q3,1,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,UPI,52655,31909,253,74.0,2,10,4,8826,7.97,126.26
2024-08-01,2024,8,Aug,Q3,1,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,UPI,44250,29289,301,98.5,3,8,3,13236,4.81,97.36
2024-08-01,2024,8,Aug,Q3,1,Delhi,Delhi,Education Support,Back to School Drive,Individual,Bank Transfer,61280,40553,203,82.8,2,14,6,9646,8.07,199.47
2024-08-01,2024,8,Aug,Q3,1,Delhi,Delhi,Food Distribution,Meal Support Campaign,Community Group,Online Portal,66218,48667,317,92.9,3,11,3,11107,8.96,153.5
2024-08-01,2024,8,Aug,Q3,1,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,43167,27283,220,62.2,2,9,3,8491,3.95,124.21
2024-08-01,2024,8,Aug,Q3,1,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,44425,32452,245,70.8,3,11,3,8091,5.22,132.25
2024-08-01,2024,8,Aug,Q3,1,Delhi,Delhi,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,44478,27978,258,72.9,3,8,4,10503,9.8,108.37
2024-08-01,2024,8,Aug,Q3,1,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,Online Portal,86297,36739,160,61.8,1,14,6,10260,5.73,228.95
2024-08-01,2024,8,Aug,Q3,1,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,73698,41155,276,87.7,4,14,7,11522,3.42,149.38
2024-08-01,2024,8,Aug,Q3,1,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,36175,23352,205,63.3,2,9,3,8829,8.63,114.07
2024-08-01,2024,8,Aug,Q3,1,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,UPI,38869,24984,188,56.7,2,7,2,8883,3.41,132.79
2024-08-01,2024,8,Aug,Q3,1,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,UPI,36884,26696,253,67.7,2,7,3,9990,7.38,105.65
2024-08-01,2024,8,Aug,Q3,1,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Bank Transfer,53352,33521,175,66.2,2,10,3,9972,5.13,192.09
2024-08-01,2024,8,Aug,Q3,1,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,62802,35744,271,75.0,3,12,5,10139,4.17,132.06
2024-08-01,2024,8,Aug,Q3,1,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,38769,20465,199,58.1,2,8,3,8438,9.01,102.73
2024-08-01,2024,8,Aug,Q3,1,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,35134,24027,193,59.5,2,6,3,6310,9.62,124.24
2024-08-01,2024,8,Aug,Q3,1,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,63251,22852,221,74.9,2,13,5,9812,6.81,103.34
2024-08-01,2024,8,Aug,Q3,1,Patna,Bihar,Education Support,Back to School Drive,Individual,Online Portal,49837,31045,166,52.4,2,9,3,9282,4.24,186.86
2024-08-01,2024,8,Aug,Q3,1,Patna,Bihar,Food Distribution,Meal Support Campaign,Individual,Online Portal,35424,31567,249,84.7,3,6,2,9536,4.85,126.93
2024-08-01,2024,8,Aug,Q3,1,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,29991,19957,184,56.6,2,7,2,6062,3.71,108.75
2024-08-01,2024,8,Aug,Q3,1,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,45998,23975,172,61.9,2,11,3,7650,8.02,139.0
2024-08-01,2024,8,Aug,Q3,1,Patna,Bihar,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,31023,21267,181,58.6,2,6,3,5676,6.92,117.61
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,71514,28131,148,48.5,2,13,6,8530,3.86,190.3
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Online Portal,41831,33238,216,64.1,2,9,4,9423,5.08,154.17
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,UPI,36694,17105,172,49.1,2,7,2,5958,9.13,99.53
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,Online Portal,30108,21551,142,37.5,1,8,3,5490,5.75,152.26
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Community Group,Online Portal,35152,21198,186,62.9,2,9,3,6691,3.46,113.82
2024-09-01,2024,9,Sep,Q3,1,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Individual,Online Portal,67756,42947,227,81.8,2,17,7,11516,5.03,189.2
2024-09-01,2024,9,Sep,Q3,1,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,62764,47639,314,104.7,3,12,5,11805,6.09,151.89
2024-09-01,2024,9,Sep,Q3,1,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,Bank Transfer,46861,27439,230,64.5,2,10,5,10322,3.99,119.09
2024-09-01,2024,9,Sep,Q3,1,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,70119,32978,269,90.7,3,16,5,13496,4.97,122.8
2024-09-01,2024,9,Sep,Q3,1,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Community Group,UPI,54746,31714,274,74.1,2,10,4,11184,3.57,115.78
2024-09-01,2024,9,Sep,Q3,1,Delhi,Delhi,Education Support,Back to School Drive,Community Group,Bank Transfer,75849,37761,195,74.0,2,17,7,9576,8.9,193.79
2024-09-01,2024,9,Sep,Q3,1,Delhi,Delhi,Food Distribution,Meal Support Campaign,Individual,Online Portal,51321,43988,366,136.8,5,9,4,13970,4.68,120.21
2024-09-01,2024,9,Sep,Q3,1,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,44232,25782,219,62.2,2,10,5,10614,9.5,117.98
2024-09-01,2024,9,Sep,Q3,1,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,47368,30103,244,65.2,3,10,3,10924,8.08,123.2
2024-09-01,2024,9,Sep,Q3,1,Delhi,Delhi,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,45576,31567,265,70.0,2,8,3,8066,5.91,119.11
2024-09-01,2024,9,Sep,Q3,1,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,56236,31293,185,65.0,2,12,5,8565,4.55,168.77
2024-09-01,2024,9,Sep,Q3,1,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Alumni Network,Online Portal,47967,43281,245,85.0,3,8,4,9950,7.83,176.8
2024-09-01,2024,9,Sep,Q3,1,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,40532,22897,209,57.2,2,10,4,7151,5.13,109.77
2024-09-01,2024,9,Sep,Q3,1,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Online Portal,46958,25468,204,58.4,3,11,5,9097,4.23,124.57
2024-09-01,2024,9,Sep,Q3,1,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Online Portal,35816,24682,201,64.4,2,7,3,6498,8.53,122.55
2024-09-01,2024,9,Sep,Q3,1,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,UPI,46239,29570,177,70.4,2,10,3,7540,8.61,166.69
2024-09-01,2024,9,Sep,Q3,1,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Individual,Online Portal,45029,36678,259,72.8,3,8,2,8150,8.35,141.68
2024-09-01,2024,9,Sep,Q3,1,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,39503,21001,185,55.0,2,9,4,6312,3.63,113.7
2024-09-01,2024,9,Sep,Q3,1,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Alumni Network,Online Portal,38790,25813,157,53.5,2,6,2,8071,6.06,164.23
2024-09-01,2024,9,Sep,Q3,1,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Community Group,Online Portal,37069,21850,216,57.5,3,8,4,6667,7.29,101.09
2024-09-01,2024,9,Sep,Q3,1,Patna,Bihar,Education Support,Back to School Drive,Individual,Fundraising Event,46559,29447,167,53.4,2,10,4,8671,4.84,176.72
2024-09-01,2024,9,Sep,Q3,1,Patna,Bihar,Food Distribution,Meal Support Campaign,Alumni Network,UPI,46389,33008,256,84.3,3,8,3,9555,4.39,128.89
2024-09-01,2024,9,Sep,Q3,1,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,29910,18337,193,60.6,2,6,3,6308,4.25,94.78
2024-09-01,2024,9,Sep,Q3,1,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,29463,24391,179,47.2,2,7,3,7598,5.54,136.39
2024-09-01,2024,9,Sep,Q3,1,Patna,Bihar,Health Awareness,Community Wellness Camp,Community Group,Bank Transfer,36084,22997,197,61.6,2,9,4,9147,6.92,116.7
2024-09-01,2024,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,79235,29893,152,57.1,2,20,6,10498,3.33,196.67
2024-09-01,2024,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,39608,29289,203,70.7,2,7,3,6624,7.07,144.09
2024-09-01,2024,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,UPI,36823,19310,182,49.5,2,8,2,6857,4.1,106.17
2024-09-01,2024,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,31295,21585,172,47.4,2,6,3,7526,4.67,125.49
2024-09-01,2024,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Bank Transfer,48899,19401,190,49.8,3,9,4,9695,8.29,102.23
2024-10-01,2024,10,Oct,Q4,1,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,119183,46756,246,82.7,3,20,6,16792,4.77,190.32
2024-10-01,2024,10,Oct,Q4,1,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Alumni Network,Bank Transfer,63062,52273,391,134.0,4,13,4,12824,7.77,133.67
2024-10-01,2024,10,Oct,Q4,1,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,53186,27472,229,63.4,3,11,5,9384,5.68,119.94
2024-10-01,2024,10,Oct,Q4,1,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Bank Transfer,51683,34998,213,61.4,3,8,2,8296,5.68,164.24
2024-10-01,2024,10,Oct,Q4,1,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Community Group,UPI,55787,33936,318,99.5,4,10,4,11935,3.55,106.87
2024-10-01,2024,10,Oct,Q4,1,Delhi,Delhi,Education Support,Back to School Drive,Individual,Bank Transfer,63956,44133,213,80.0,2,14,4,10074,6.83,207.33
2024-10-01,2024,10,Oct,Q4,1,Delhi,Delhi,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,88031,45033,324,110.8,3,20,6,13408,5.13,138.92
2024-10-01,2024,10,Oct,Q4,1,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,45494,26375,241,72.2,3,9,3,11065,5.64,109.39
2024-10-01,2024,10,Oct,Q4,1,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,43393,33226,214,67.6,3,8,2,9336,8.53,155.04
2024-10-01,2024,10,Oct,Q4,1,Delhi,Delhi,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,45962,31842,292,83.3,3,8,3,12607,6.34,109.23
2024-10-01,2024,10,Oct,Q4,1,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Individual,UPI,55354,36468,196,77.1,2,13,6,8298,9.7,185.72
2024-10-01,2024,10,Oct,Q4,1,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Alumni Network,Bank Transfer,44231,43237,274,86.9,2,8,4,9191,9.21,158.06
2024-10-01,2024,10,Oct,Q4,1,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,UPI,38652,22548,213,67.6,2,6,2,9007,7.08,106.03
2024-10-01,2024,10,Oct,Q4,1,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,UPI,44463,26827,175,58.7,2,7,3,6789,5.09,153.26
2024-10-01,2024,10,Oct,Q4,1,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,70860,26116,211,63.5,2,16,6,11375,7.69,123.62
2024-10-01,2024,10,Oct,Q4,1,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Online Portal,55903,30119,155,62.3,1,9,3,9177,5.2,193.82
2024-10-01,2024,10,Oct,Q4,1,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Individual,Online Portal,45889,39599,269,79.5,3,8,4,9515,8.01,147.06
2024-10-01,2024,10,Oct,Q4,1,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,UPI,57572,21762,177,54.5,2,10,5,9099,4.25,122.65
2024-10-01,2024,10,Oct,Q4,1,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,30990,25972,194,50.7,2,5,2,6468,6.21,133.62
2024-10-01,2024,10,Oct,Q4,1,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Alumni Network,Bank Transfer,35439,23325,225,69.1,3,9,3,8697,4.37,103.57
2024-10-01,2024,10,Oct,Q4,1,Patna,Bihar,Education Support,Back to School Drive,Community Group,Fundraising Event,55576,28229,166,68.2,2,14,4,9547,8.35,170.32
2024-10-01,2024,10,Oct,Q4,1,Patna,Bihar,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,40701,32447,251,79.0,4,7,3,7441,9.22,129.35
2024-10-01,2024,10,Oct,Q4,1,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,UPI,54273,20742,185,56.2,2,12,6,9997,6.23,112.25
2024-10-01,2024,10,Oct,Q4,1,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,33374,22179,180,48.4,2,6,3,6744,7.47,123.07
